RHBMM,Accuracyyy,AGE,DRESS,Home,Jail
1,0.6992,youth,red,city,no
0,0.8599,youth,red,city,yes
1,0.4569,youth,green,forest,no
0,0.8823,youth,black,forest,no
1,0.839,middle,black,city,yes
1,0.8346,middle,black,city,no
1,0.6632,youth,black,forest,no
0,0.736,senior,red,forest,no
0,0.7279,middle,green,city,no
1,0.7641,middle,green,city,no
0,0.5047,youth,black,city,no
1,0.6418,senior,black,forest,yes
0,0.8179,youth,red,forest,no
1,0.7289,senior,green,city,no
0,0.4799,youth,green,city,no
0,0.7261,middle,black,city,no
1,0.4853,senior,black,city,no
1,0.61,youth,green,forest,yes
1,0.7146,middle,green,forest,no
1,0.441,senior,black,forest,no
0,0.7486,youth,green,city,no
0,0.6772,youth,black,city,no
0,0.5762,senior,black,city,no
1,0.6271,senior,green,forest,no
1,0.7928,youth,green,forest,no
0,0.8728,middle,green,city,no
1,0.8467,senior,black,forest,yes
1,0.744,youth,red,forest,no
0,0.6964,middle,green,city,yes
0,0.6725,middle,red,forest,no
0,0.9354,senior,black,forest,no
1,0.5734,senior,green,city,no
1,0.8349,youth,black,forest,no
0,0.5817,middle,black,city,no
0,0.6866,middle,black,city,no
1,0.7026,middle,black,forest,yes
0,0.7831,senior,black,forest,no
0,0.7503,youth,red,city,no
0,0.7355,youth,black,city,no
1,0.7701,middle,black,city,no
1,0.724,youth,green,forest,no
1,0.8499,middle,black,forest,no
1,0.7375,middle,green,forest,no
1,0.7395,youth,green,city,yes
1,0.7099,senior,red,city,yes
1,0.6986,middle,black,forest,no
1,0.8398,youth,black,forest,no
1,0.5731,youth,red,forest,no
0,0.3789,middle,red,forest,no
1,0.6919,middle,red,city,no
1,0.6641,youth,red,city,no
1,0.8519,youth,black,city,no
0,0.7204,middle,black,city,no
0,0.3559,middle,green,city,no
0,0.6429,middle,red,city,no
1,0.5837,middle,green,city,no
1,0.7731,youth,green,forest,no
1,0.5818,youth,red,forest,no
0,0.5684,youth,red,city,no
0,0.6509,youth,red,forest,no
1,0.56,youth,green,forest,no
0,0.6404,senior,red,city,no
0,0.5916,youth,black,city,no
0,0.838,youth,red,city,no
0,0.6766,middle,black,forest,no
0,0.7515,middle,black,city,no
1,0.586,senior,green,city,no
1,0.688,middle,red,city,no
0,0.6708,senior,red,city,no
1,0.6916,senior,green,city,no
1,0.7606,middle,green,city,no
1,0.5538,senior,red,forest,no
0,0.5346,middle,red,city,no
1,0.7785,senior,red,city,no
0,0.8258,middle,red,city,no
0,0.779,youth,red,city,yes
1,0.8507,middle,black,city,no
1,0.8239,senior,green,city,yes
0,0.786,youth,green,city,no
1,0.8324,middle,green,forest,no
1,0.8076,youth,green,city,no
1,0.624,youth,green,city,no
1,0.8153,middle,green,forest,no
0,0.7652,middle,red,city,yes
1,0.7248,youth,red,city,yes
0,0.7843,senior,black,city,no
0,0.4935,middle,black,forest,no
0,0.5026,youth,green,city,yes
1,0.8349,senior,black,forest,no
1,0.86,youth,black,city,yes
0,0.6926,youth,black,city,no
0,0.6081,middle,red,city,no
1,0.5494,youth,green,city,yes
0,0.7635,senior,black,city,no
1,0.3299,middle,red,forest,no
1,0.7234,youth,green,city,no
0,0.6612,youth,black,city,no
0,0.5938,youth,green,city,no
0,0.5842,youth,red,city,no
1,0.3923,youth,red,city,no
1,0.7846,youth,green,forest,no
1,0.8134,youth,black,city,no
1,0.7227,senior,green,city,no
1,0.4619,youth,green,forest,no
0,0.5225,senior,black,city,no
0,0.7525,youth,black,city,no
0,0.5627,senior,green,city,no
0,0.5504,youth,black,city,no
0,0.7274,youth,red,city,no
1,0.7991,youth,black,city,no
1,0.8215,youth,black,forest,no
0,0.6772,youth,red,city,no
1,0.6081,youth,black,city,no
1,0.8142,middle,black,city,no
1,0.8935,youth,green,forest,no
0,0.6335,youth,red,forest,no
0,0.8227,middle,green,city,no
1,0.7571,middle,black,forest,yes
1,0.7215,middle,green,forest,no
0,0.7878,youth,green,city,no
1,0.7408,middle,green,forest,no
1,0.6482,youth,red,city,no
0,0.6974,senior,green,city,no
1,0.7763,middle,black,city,yes
0,0.7486,middle,red,city,no
0,0.5868,senior,red,city,yes
0,0.7984,senior,red,city,no
0,0.5895,middle,green,city,no
0,0.7276,middle,green,city,no
0,0.3967,youth,red,city,yes
0,0.5717,senior,red,forest,no
0,0.8861,youth,red,city,no
1,0.7184,senior,black,city,no
1,0.6569,middle,black,forest,no
1,0.4988,youth,black,city,no
0,0.8874,youth,black,city,no
0,0.5767,middle,black,city,no
0,0.6864,youth,green,city,no
0,0.7039,middle,black,city,yes
1,0.8235,youth,green,city,no
1,0.4868,youth,red,city,no
1,0.3557,youth,green,forest,no
0,0.618,middle,red,city,no
1,0.7917,youth,green,city,no
0,0.8323,youth,red,city,yes
1,0.9299,middle,green,city,no
1,0.5289,youth,green,city,yes
1,0.7111,youth,black,forest,yes
0,0.5572,youth,green,city,yes
1,0.747,middle,black,forest,no
0,0.4497,youth,red,city,no
1,0.607,middle,red,forest,no
0,0.6614,middle,red,forest,yes
1,0.7442,middle,green,city,no
1,0.6876,youth,black,city,no
0,0.6919,middle,black,city,no
1,0.8786,youth,green,city,no
0,0.5832,senior,red,city,no
0,0.8751,youth,black,forest,no
1,0.7933,middle,black,city,no
1,0.8112,senior,red,city,no
0,0.7309,youth,red,city,no
1,0.5948,youth,green,city,no
1,0.671,youth,red,city,yes
0,0.666,youth,red,city,no
1,0.8252,youth,black,city,no
1,0.6675,middle,black,city,no
1,0.5856,youth,green,forest,no
1,0.738,senior,green,city,no
1,0.7305,middle,green,city,no
0,0.9188,youth,black,city,no
1,0.7373,senior,green,city,yes
1,0.8444,senior,red,city,no
0,0.5423,senior,red,city,no
0,0.854,middle,red,city,no
0,0.4558,middle,red,forest,no
0,0.358,youth,black,city,no
0,0.6867,middle,red,city,no
1,0.828,middle,green,city,no
1,0.7326,middle,black,city,yes
0,0.4561,middle,black,city,no
1,0.4688,middle,green,forest,no
0,0.6824,middle,red,forest,no
1,0.7081,senior,green,forest,no
1,0.7654,youth,red,city,no
0,0.3835,middle,black,city,no
0,0.5629,youth,black,city,no
1,0.6457,senior,red,forest,no
1,0.5847,middle,black,city,no
1,0.4192,youth,green,city,yes
0,0.6874,youth,black,city,no
0,0.4605,youth,black,city,yes
1,0.6969,senior,black,city,no
1,0.721,youth,black,forest,no
0,0.5125,youth,red,city,no
1,0.7539,youth,green,city,no
1,0.5643,youth,green,city,no
0,0.6593,youth,red,city,no
0,0.775,youth,red,city,no
1,0.6199,senior,red,city,no
0,0.7065,youth,red,city,no
0,0.8628,youth,red,city,no
0,0.6092,youth,black,city,yes
0,0.6344,middle,red,forest,no
1,0.7053,youth,black,forest,no
1,0.8263,middle,green,city,no
1,0.7539,middle,green,city,no
1,0.611,middle,red,forest,no
0,0.6783,middle,black,city,no
0,0.7843,middle,red,city,no
0,0.8613,youth,black,forest,yes
1,0.9063,middle,black,city,no
0,0.6258,youth,black,city,no
0,0.7878,middle,black,city,no
1,0.4511,middle,red,city,no
1,0.7303,senior,green,forest,no
1,0.6387,senior,green,forest,no
1,0.5595,middle,green,city,yes
1,0.8123,youth,red,city,no
0,0.7495,senior,black,forest,no
1,0.5328,senior,green,forest,no
1,0.8768,senior,black,forest,no
1,0.5596,youth,black,city,no
1,0.6915,youth,black,city,no
1,0.6973,youth,green,forest,yes
1,0.7906,youth,black,forest,no
1,0.8671,middle,green,city,no
1,0.5546,middle,green,city,no
1,0.7661,youth,black,forest,no
0,0.497,middle,red,city,no
0,0.8222,senior,black,forest,yes
0,0.7441,youth,red,city,yes
1,0.6222,senior,green,forest,no
1,0.7131,middle,green,forest,no
0,0.7336,middle,black,city,no
1,0.5556,middle,black,city,no
0,0.531,middle,red,city,no
1,0.8348,youth,black,city,yes
0,0.8319,youth,black,city,no
1,0.641,youth,black,city,no
0,0.7205,youth,red,city,no
1,0.7548,middle,red,forest,no
1,0.432,senior,green,forest,yes
1,0.5399,senior,green,forest,no
0,0.611,middle,red,city,yes
1,0.5165,youth,red,city,no
1,0.6682,middle,black,forest,no
1,0.7145,youth,green,forest,no
0,0.5929,youth,red,forest,no
1,0.6798,middle,black,forest,no
1,0.6905,youth,green,city,no
0,0.6254,youth,red,city,no
1,0.637,youth,black,city,no
1,0.8974,youth,green,forest,no
0,0.5824,youth,black,city,no
0,0.7505,middle,black,city,no
1,0.7034,middle,black,city,no
0,0.6731,youth,green,city,no
0,0.8731,youth,green,city,no
1,0.5231,middle,black,city,yes
1,0.7236,youth,green,city,no
0,0.4756,youth,black,city,no
0,0.9452,youth,red,city,no
1,0.8888,youth,red,forest,yes
0,0.7627,middle,green,city,no
0,0.6549,youth,black,forest,no
0,0.6399,youth,black,forest,no
1,0.7515,middle,green,forest,yes
0,0.5299,middle,red,forest,no
1,0.7984,middle,red,forest,no
1,0.6617,senior,green,city,no
1,0.7792,youth,black,forest,no
0,0.6253,middle,red,city,no
1,0.5867,middle,red,city,no
0,0.7135,middle,red,city,no
1,0.7014,senior,black,forest,no
1,0.7024,senior,black,city,no
1,0.7245,youth,green,city,no
1,0.6231,middle,red,forest,no
1,0.7296,middle,black,forest,no
0,0.8119,senior,black,city,no
0,0.6662,senior,red,city,no
1,0.5353,middle,black,city,no
1,0.8591,middle,black,forest,no
0,0.6054,senior,black,forest,yes
1,0.6816,senior,black,forest,no
1,0.6228,youth,green,city,no
1,0.7976,youth,green,forest,no
0,0.5468,middle,black,city,no
0,0.7701,youth,black,city,no
1,0.8652,youth,black,forest,no
1,0.576,senior,black,city,no
1,0.7034,senior,black,forest,no
1,0.7365,senior,green,forest,no
0,0.7218,youth,black,city,yes
0,0.4207,middle,red,forest,no
0,0.7711,youth,red,city,no
1,0.7533,middle,black,city,no
1,0.7347,senior,green,city,no
1,0.6443,senior,green,forest,no
1,0.6632,youth,red,forest,no
1,0.6616,youth,red,city,no
0,0.7423,youth,black,forest,no
1,0.8327,youth,black,forest,no
0,0.6768,senior,black,city,no
1,0.6845,youth,black,city,no
1,0.5446,senior,black,forest,no
1,0.8816,senior,green,city,no
1,0.8044,senior,black,forest,yes
1,0.7742,middle,black,city,no
0,0.6934,middle,green,city,no
1,0.8446,youth,green,city,no
1,0.6129,senior,black,city,yes
1,0.5177,middle,green,forest,no
0,0.6461,youth,black,city,no
1,0.8755,middle,green,city,no
1,0.8949,youth,green,city,no
0,0.62,youth,black,city,no
0,0.608,middle,red,city,no
0,0.6427,middle,red,city,no
1,0.909,youth,green,city,yes
