country,med_age_all,med_age_male,med_age_female,ed_index_2015,mean_years_school_2015,hdi_rank,continent,gdp_growth_1990_2015,gni_ppp_cap_usd,inequality,pop_growth_2015_20,per_urban,population
Afghanistan,18.8,18.8,18.9,0.398,3.5,169,Asia,NA,1960,27.8,2.41,25.5,38041754
Albania,32.9,31.6,34.3,0.715,9.6,75,Europe,6.8,12960,29,0.13,60.3,2880917
Algeria,28.1,27.8,28.4,0.658,7.8,83,Africa,4,15350,27.6,1.67,72.6,43053054
American Samoa,25.5,25.1,26,NA,NA,NA,NA,NA,NA,NA,NA,87.2,55312
Andorra,44.3,44.4,44.1,0.718,10.3,32,Europe,NA,NA,NA,-0.21,88.1,77142
Angola,15.9,15.4,16.3,0.482,5,150,Africa,8.9,6150,42.7,3.28,65.5,31825295
Anguilla,34.8,32.9,36.7,NA,NA,NA,NA,NA,NA,NA,NA,100,14869
Antigua and Barbuda,31.9,30,33.5,0.694,9.2,62,North America,4.5,25160,NA,1.01,24.6,97118
Argentina,31.7,30.5,32.9,0.808,9.8,45,South America,5.9,19820,42.4,0.94,91.9,44780677
Armenia,35.1,33.3,36.9,0.73,11.3,84,Europe,6.6,10460,32.4,0.15,63.1,2957731
Aruba,39.3,37.5,41.1,NA,NA,NA,NA,NA,36960,NA,NA,43.4,106314
Australia,38.7,37.9,39.5,0.939,13.2,2,Oceania,5.5,49930,34.7,1.3,86,25203198
Austria,44,42.8,45.1,0.82,11.3,24,Europe,3.4,55960,30.5,0.24,58.3,8955102
Azerbaijan,31.3,29.8,33,0.723,11.2,78,Europe,8.6,17070,31.8,0.98,55.7,10047718
Bahamas,NA,NA,NA,0.715,10.9,58,North America,NA,30920,NA,1.01,83,389482
Bahrain,32.3,33.8,29.5,0.717,9.4,47,Asia,7.6,44620,NA,4.26,89.3,1641172
Bangladesh,26.7,26,27.3,0.457,5.2,139,Asia,7.3,4560,32,1.04,36.6,163046161
Barbados,38.6,37.5,39.8,0.773,10.5,54,North America,3.4,17640,NA,0.24,31.1,287025
Belarus,40,37.1,43.1,0.834,12,52,Europe,4.5,19200,26.7,-0.15,78.6,9452411
Belgium,41.4,40.2,42.7,0.841,11.4,22,Europe,3.3,51470,28.1,0.58,98,11539328
Belize,22.7,22.5,22.9,0.704,10.5,103,North America,6,8200,53.3,2.05,45.7,390353
Benin,18.2,17.9,18.6,0.414,3.5,167,Africa,5.6,2400,47.8,2.73,47.3,11801151
Bermuda,43.4,41.5,45.3,NA,NA,NA,NA,NA,66810,NA,NA,100,62506
Bhutan,27.6,28.2,27.1,0.452,3.1,132,Asia,8.2,9680,38.7,1.18,40.9,763092
Bolivia,24.3,23.6,25,0.656,8.2,118,South America,8,7670,45.8,1.47,69.4,11513100
Bosnia and Herzegovina,42.1,40.5,43.5,0.694,9,81,Europe,3,13670,33.1,-0.22,48.2,3301000
Botswana,24.5,23.5,25.6,0.658,9.2,108,Africa,5.5,17970,60.5,1.79,69.4,2303697
Brazil,32,31.1,32.8,0.681,7.8,79,South America,5.7,15820,46.9,0.75,86.6,211049527
British Virgin Islands,36.5,36.3,36.6,NA,NA,NA,NA,NA,NA,NA,NA,47.7,30030
Brunei,30.2,29.7,30.7,NA,NA,NA,NA,4.9,85790,NA,1.25,77.6,433285
Brunei Darussalam,NA,NA,NA,0.716,9,30,Asia,NA,NA,NA,NA,NA,NA
Bulgaria,42.7,40.9,44.7,0.778,10.8,56,Europe,3.8,21220,37.4,-0.67,75,7000119
Burkina Faso,17.3,17.1,17.4,0.262,1.4,185,Africa,5,1920,35.3,2.87,29.4,20321378
Burma,28.2,27.4,29,NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA
Burundi,17,16.8,17.3,0.395,3,184,Africa,4,740,39.2,3.15,13,10864245
Cabo Verde,25.4,24.6,26.2,0.534,4.8,122,Africa,NA,NA,47.2,NA,NA,NA
Cambodia,25.3,24.6,26,0.459,4.7,143,Asia,12.8,4060,30.8,1.49,23.4,16486542
Cameroon,18.5,18.4,18.7,0.493,6.1,153,Africa,3.4,3700,46.5,2.56,56.4,25876380
Canada,42.2,40.9,43.5,0.89,13.1,10,North America,3.9,47280,34,0.9,81.4,37411047
Cape Verde,NA,NA,NA,NA,NA,NA,NA,6.4,7330,NA,1.25,65.7,549935
Caribbean Netherlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25979
Cayman Islands,40,39.3,40.7,NA,NA,NA,NA,NA,50510,NA,NA,100,64948
Central African Republic,19.7,19.4,20,0.338,4.2,188,Africa,NA,870,56.2,1.58,41.4,4745185
Chad,17.8,16.8,18.8,0.28,2.3,186,Africa,7.4,1920,43.3,3.01,23.1,15946876
Chile,34.4,33.2,35.6,0.784,9.9,38,South America,8.3,24250,47.7,0.78,87.6,18952038
China,37.4,36.5,38.4,0.631,7.6,90,Asia,14.3,18140,38.6,0.39,59.6,1433783686
Colombia,30,29,31,0.63,7.6,95,South America,6.9,14490,50.8,0.81,80.8,50339443
Comoros,19.9,19.2,20.5,0.469,4.8,160,Africa,3.5,2730,45,2.24,29,850886
Congo,NA,NA,NA,0.52,6.3,135,Africa,NA,NA,NA,2.59,66.9,5380508
"Congo, Republic of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,40.2,NA,NA,NA
Cook Islands,36.5,36,37,NA,NA,NA,NA,NA,NA,NA,NA,75.1,17548
Costa Rica,31.3,30.8,31.8,0.684,8.7,66,North America,9.5,16670,48.7,0.96,79.3,5047561
Cote d'Ivoire,20.9,21,20.9,0.415,5,171,Africa,NA,NA,NA,NA,NA,NA
Côte d'Ivoire,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.7,NA,NA,NA
Croatia,43,41.1,45,0.798,11.2,45,Europe,2.8,25830,32.2,-0.58,56.9,4130304
Cuba,41.5,40.1,42.6,0.779,11.8,68,North America,NA,NA,NA,0.06,77,11333483
Curacao,36.1,33.5,39.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Curaçao,NA,NA,NA,NA,NA,NA,NA,NA,27820,NA,NA,89.1,163424
Cyprus,36.8,35.5,38.3,0.786,11.7,33,Europe,4.9,35170,35.6,0.78,66.8,1179551
Czech Republic,42.1,40.8,43.4,0.878,12.3,28,Europe,6.7,37870,25.9,0.06,73.8,10689209
Democratic Republic of the Congo,18.6,18.3,18.8,0.475,6.1,176,Africa,-0.3,900,NA,3.22,44.5,86790567
Denmark,42.2,41.2,43.2,0.923,12.7,5,Europe,3.2,57470,28.5,0.38,87.9,5771876
Djibouti,23.9,22.1,25.3,0.31,4.1,172,Africa,5.5,NA,44.1,1.51,77.8,973560
Dominica,33.5,33,34,0.618,7.9,96,North America,4,10680,NA,0.51,70.5,71808
Dominican Republic,28.1,27.9,28.3,0.622,7.7,99,North America,9,16960,45.3,1.07,81.1,10738958
DR Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.1,NA,NA,NA
East Timor,18.9,18.3,19.6,NA,NA,NA,NA,NA,6990,NA,2.14,30.6,1293119
Ecuador,27.7,27,28.4,0.665,8.3,89,South America,8.7,11410,45,1.42,63.8,17373662
Egypt,23.9,23.6,24.2,0.601,7.1,111,Africa,5.1,12080,31.8,1.87,42.7,100388073
El Salvador,27.1,25.6,28.6,0.584,6.5,117,North America,6.5,7850,40,0.52,72,6453553
Equatorial Guinea,19.8,19.3,20.3,0.439,5.5,135,Africa,20.2,18170,NA,3.59,72.1,1355986
Eritrea,19.7,19.2,20.1,0.267,3.9,179,Africa,7.3,2080,NA,2.28,40.1,3497117
Estonia,42.7,39.4,46.1,0.877,12.5,30,Europe,5.7,35050,34.6,-0.23,68.9,1325648
Eswatini,NA,NA,NA,NA,NA,NA,NA,NA,10680,51.5,NA,NA,NA
Eswatini ,21.7,21.5,21.9,NA,NA,NA,NA,NA,NA,NA,1.75,23.8,1148130
Ethiopia,17.9,17.7,18.1,0.318,2.6,174,Africa,6.8,2010,33.2,2.43,20.8,112078730
EU,42.9,41.5,44.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
